metric,value,unit
scenario,sensor_based,-
duration,28800.0,s
orders_created,316,count
orders_completed,315,count
avg_throughput_time,106.21773867558181,s
lighting_energy,5921.128765674359,Wh
agv_energy,100179.85104166668,Wh
total_energy,106100.97980734103,Wh
total_agv_distance,27075.635416666668,m
energy_cost,24.403225355688438,EUR

agv_id,orders_served,distance_m,time_travelled_s,energy_wh
1,170,14307.708333333338,14307.708333333338,52938.52083333335
2,95,8387.385416666666,8387.385416666666,31033.326041666667
3,50,4380.541666666664,4380.541666666664,16208.004166666658
